no,bulan,jumlah_kebakaran,pbk_bp,pbk_psr,pbk_bi,pbk_sc,pbk_bu,pbk_lain_lain,pk_kp,pk_lp,pk_ls,pk_rk,pk_ln,jt_bp,jt_kr,jt_bi,jt_bu,jt_sc,jt_kios,jt_ln,korban_md,korban_lk
1,Januari,19,8,-,1,-,1,9,2,-,12,-,5,8,4,1,1,-,5,9,-,-
2,Februari,19,8,-,-,-,4,7,4,-,6,-,9,8,3,-,3,-,4,7,-,10
3,Maret,9,1,-,-,-,3,5,1,-,5,-,3,1,1,-,-,-,7,5,-,-
4,April,12,6,-,-,-,5,1,2,-,4,1,5,6,-,-,3,-,4,-,-,-
5,Mei,19,8,-,1,-,2,8,-,-,-,-,-,34,4,1,-,-,-,8,1,1
6,Juni,24,9,-,-,-,4,11,3,-,8,1,12,11,-,-,3,-,5,11,1,2
7,Juli,42,12,1,1,-,7,21,2,-,4,4,32,31,3,1,8,-,800,25,-,5
8,Agustus,20,7,-,1,-,-,12,1,1,4,1,13,8,1,1,-,-,-,13,-,-
9,September,34,8,1,2,-,5,18,2,-,6,3,23,21,1,2,6,-,300,23,1,1
10,Oktober,35,8,1,-,-,5,21,3,-,7,2,23,8,1,-,5,-,395,21,-,2
11,November,9,4,-,-,-,1,4,1,-,2,-,6,33,2,-,41,-,-,11,-,1
12,Desember,15,5,-,-,-,4,6,1,-,6,-,8,5,4,-,6,0,-,8,-,2
