no,lokasi,sumber_anggaran,jumlah_pembuatan_bio_pori_tahun_2014,waktu_pembuatan
1,Kelurahan Situsaeur,DPA KECAMATAN,20,Bulan September 2014
NA,NA,PNPM,330,Bulan Mei 2014
2,Kelurahan Kebonlega,DPA KECAMATAN,20,Bulan September 2014
NA,NA,DPA KELURAHAN,56,Bulan Juni 2014
NA,NA,PNPM,240,Bulan Mei 2014
3,Kelurahan Cibaduyut,DPA KECAMATAN,15,Bulan September 2014
NA,NA,PNPM/SWADAYA MURNI,219,Bulan Mei 2014
4,Kelurahan Cibaduyut Kidul,DPA KECAMATAN,15,Bulan September 2014
NA,NA,PNPM,243,Bulan Mei 2014
5,Kelurahan Cibaduyut Wetan,DPA KECAMATAN,15,Bulan September 2014
NA,NA,PNPM,80,Bulan Mei 2014
6,Kelurahan Mekarwangi,DPA KECAMATAN,15,Bulan September 2014
NA,NA,PNPM,140,Bulan Mei 2014
NA,NA,TOTAL,1408,NA
