no,id_penjual,jenis_usaha,alamat_usaha,tempat_yang_digunakan,waktu_berjualan,kelurahan
1,PKL01AK,Jualan Knalpot,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib
2,PKL02AK,Bengkel Motor,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib
3,PKL03AK,Bubur Ayam,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib
4,PKL04AK,Bengkel Sepeda,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib
5,PKL05AK,Jualan Koran,Jl,trs jakarta,Trotoar,07.00 - 11.00 Wib
6,PKL06AK,Jualan Gorengan,Jl,trs jakarta,Trotoar,07.00 - 16.30 Wib
7,PKL17AK,Es juice / Sop Buah,Jl,trs jakarta,Trotoar,10.00 - 17.30 Wib
8,PKL18AK,Jualan Roti Kukus & Susu Murni,Jl,trs jakarta,Trotoar,17.00 - 23.00 Wib
9,PKL09AK,Nasi Kuning & Kupat Tahu,Jl,trs jakarta,Trotoar,06.00 - 14.00 Wib
10,PKL010AK,Jualan Ayam Crispy,Jl,trs jakarta,Trotoar,06.00 - 15.00 Wib
11,PKL011AK,Cimol dan Pempek,Jl,trs jakarta,Trotoar,07.00 - 17.00  Wib
12,PKL012AK,Warung Nasi,Jl,trs jakarta,Trotoar,08.00 - 15.00 Wib
13,PKL013AK,Jualan Kupat Tahu,Jl,trs jakarta,Trotoar,08.00 - 15.00 Wib
14,PKL114AK,Jualan Lumpiah Basah,Jl,trs jakarta,Trotoar,17.00 - 20.00 Wib
15,PKL115AK,Jualan Gorengan,Jl,trs jakarta,Trotoar,15.00 - 23.00 Wib
16,PKL116AK,Pempek Palembang,Jl,trs jakarta,Trotoar,17.00 - 23.00 Wib
17,PKL017AK,Jualan Sendal,Jl,trs jakarta,Trotoar,08.00 - 17.00 Wib
18,PKL018AK,Kupat Tahu,Jl,trs jakarta,Trotoar,05.30 - 15.00 Wib
19,PKL119AK,Sate Ayam,Jl,trs jakarta,Trotoar,16.30 - 24.00 wIb
20,PKL020AK,Bubur Ayam,Jl,trs jakarta,Trotoar,06.00 - 11.00 Wib
21,PKL021AK,Ayam Potong,Jl,trs jakarta,Trotoar,06.00 - 12.00 Wib
22,PKL022AK,Cat Duco,Jl,trs jakarta,Trotoar,07.00 - 17.00 Wib
