no,jenis_lingkung_seni,alamat,nama_penanggungjawab,status_kepemilikan,telepon,keterangan
1,Sanggar Tari Bali,Jl. Ciung Wanara No.18 RW.04,Made Arya Hartawan,Yayasan/Asrama Bali,022.250735,NA
NA,Tampak Siring,NA,NA,NA,NA,NA
2,Seni Sunda,Jl. Tamansari No.23/56 RT.03 RW.07,Ma'mun Syarif,NA,NA,Rampak Sekar
3,Band,Jl. Tamansari RT.05 RW.07,Lukas,NA,NA,Punk Rock Chukimay
4,Seni Sunda,Jl. Tamansari RT.01 RW.07,Irma,NA,NA,Angklung
5,Seni Musik,Jl. Taman Hewan No.21/56 RT.02 RW.08,NA,NA,NA,Perkusi
6,Seni Sunda,Jl. Taman Hewan RT.03 RW.08,Agus Suwardi,NA,NA,Kasada/Karinding
7,Seni Sunda,Jl. Taman Hewan RT.04 RW.08,Cucu Rahmat,NA,NA,Perkusi
8,Seni Rupa,Jl. Taman Hewan RT.04 RW.08,Euis Dedeh Rahayu,NA,NA,Lukis.Theatre
9,Sanggar Olah Seni (SOS),Jl. Taman Hewan RT.04 RW.08,Tatang,NA,NA,Lukis.Theatre
10,Ketangkasan Domba,Jl. Taman Hewan RT.04 RW.08,Luki,H.Emis,NA,NA
