skpd,program,kegiatan,anggaran,realisasi,persentase_serapan,tahun,catatan
Kecamatan Astanaanyar,Program Inovasi Pembangunan Dan Pemberdayaan Kewilayahan,Fasilitasi Pemberdayaan Lingkup RW,5598800000,5339823758,95.37,2016,-
Kecamatan Astanaanyar,Program Peningkatan Peran Kecamatan Dan Kelurahan,Peningkatan Infrastruktur Dan Lingkungan Hidup Tingkat Kecamatan Dan Kelurahan,2770350000,2673797800,96.51,2016,-
Kecamatan Astanaanyar,Program Peningkatan Peran Kecamatan Dan Kelurahan,Peningkatan Kualitas Penanganan Ketentraman Dan Ketertiban Tingkat Kecamatan Dan Kelurahan,1531950000,1481578500,96.71,2016,-
Kecamatan Astanaanyar,Program Peningkatan Peran Kecamatan Dan Kelurahan,Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan Dan Kelurahan,790400000,771902100,97.66,2016,-
Kecamatan Astanaanyar,Program Inovasi Pembangunan Dan Pemberdayaan Kewilayahan,Fasilitasi Pemberdayaan Lingkup PKK,600000000,594310350,99.05,2016,-
Kecamatan Astanaanyar,Program Inovasi Pembangunan Dan Pemberdayaan Kewilayahan,Fasilitasi Pemberdayaan Lingkup Karang Taruna,600000000,577282000,96.21,2016,-
Kecamatan Astanaanyar,Program Inovasi Pembangunan Dan Pemberdayaan Kewilayahan,Fasilitasi Pemberdayaan Lingkup LPM,600000000,592411650,98.74,2016,-
Kecamatan Astanaanyar,Program Peningkatan Peran Kecamatan Dan Kelurahan,Fasilitasi Peningkatan Pelayanan Kepada Masyarakat,144900000,135851700,93.76,2016,-
Kecamatan Astanaanyar,Program Peningkatan Peran Kecamatan Dan Kelurahan,Fasilitasi Peningkatan Pemerintahan Umum Kecamatan Dan Kelurahan,144500000,132490000,91.69,2016,-
Kecamatan Astanaanyar,Program Peningkatan Peran Kecamatan Dan Kelurahan,Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan Dan Kelurahan,87125000,86295000,99.05,2016,-
Kecamatan Astanaanyar,Program Perencanaan Pembangunan Daerah,Penyusunan Renstra Dan Renja SKPD,29600000,29396700,99.31,2016,-
